pdf_report_date,airport,year_month,count
2024-02,ABE,2023-07,9
2024-02,ABE,2023-08,9
2024-02,ABE,2023-09,16
2024-02,ABE,2023-10,8
2024-02,ABE,2023-11,10
2024-02,ABE,2023-12,9
2024-02,ABE,2024-01,18
2019-02,ABI,2015-01,2
2019-02,ABI,2015-02,1
2019-02,ABI,2015-03,0
2019-02,ABI,2015-04,3
2019-02,ABI,2015-05,2
2019-02,ABI,2015-06,0
2019-02,ABI,2015-07,0
2019-02,ABI,2015-08,0
2019-02,ABI,2015-09,0
2019-02,ABI,2015-10,0
2019-02,ABI,2015-11,0
2019-02,ABI,2015-12,0
2019-12,ABI,2016-01,0
2019-12,ABI,2016-02,1
2019-12,ABI,2016-03,0
2019-12,ABI,2016-04,0
2019-12,ABI,2016-05,0
2019-12,ABI,2016-06,2
2019-12,ABI,2016-07,1
2019-12,ABI,2016-08,1
2019-12,ABI,2016-09,1
2019-12,ABI,2016-10,0
2019-12,ABI,2016-11,1
2019-12,ABI,2016-12,1
2019-12,ABI,2017-01,0
2019-12,ABI,2017-02,0
2019-12,ABI,2017-03,0
2019-12,ABI,2017-04,1
2019-12,ABI,2017-05,0
2019-12,ABI,2017-06,1
2019-12,ABI,2017-07,0
2019-12,ABI,2017-08,0
2019-12,ABI,2017-09,1
2019-12,ABI,2017-10,0
2019-12,ABI,2017-11,1
2019-12,ABI,2017-12,1
2021-06,ABI,2018-01,0
2021-06,ABI,2018-02,1
2021-06,ABI,2018-03,1
2021-06,ABI,2018-04,1
2021-06,ABI,2018-05,2
2021-06,ABI,2018-06,0
2021-06,ABI,2018-07,2
2021-06,ABI,2018-08,0
2021-06,ABI,2018-09,0
2021-06,ABI,2018-10,2
2021-06,ABI,2018-11,1
2021-06,ABI,2018-12,1
2022-05,ABI,2019-01,1
2022-05,ABI,2019-02,0
2022-05,ABI,2019-03,2
2022-05,ABI,2019-04,3
2022-05,ABI,2019-05,0
2022-05,ABI,2019-06,2
2022-05,ABI,2019-07,2
2022-05,ABI,2019-08,1
2022-05,ABI,2019-09,2
2022-05,ABI,2019-10,2
2022-05,ABI,2019-11,0
2022-05,ABI,2019-12,4
2023-05,ABI,2020-01,1
2023-05,ABI,2020-02,0
2023-05,ABI,2020-03,2
2023-05,ABI,2020-04,0
2023-05,ABI,2020-05,1
2023-05,ABI,2020-06,0
2023-05,ABI,2020-07,0
2023-05,ABI,2020-08,1
2023-05,ABI,2020-09,1
2023-05,ABI,2020-10,2
2023-05,ABI,2020-11,0
2023-05,ABI,2020-12,1
2023-05,ABI,2021-01,1
2023-05,ABI,2021-02,0
2023-05,ABI,2021-03,1
2023-05,ABI,2021-04,0
2023-05,ABI,2021-05,3
2023-05,ABI,2021-06,2
2023-05,ABI,2021-07,1
2023-05,ABI,2021-08,2
2024-02,ABI,2021-10,0
2024-02,ABI,2021-11,0
2024-02,ABI,2021-12,2
2024-02,ABI,2022-01,0
2024-02,ABI,2022-02,1
2024-02,ABI,2022-03,0
2024-02,ABI,2022-04,2
2024-02,ABI,2022-05,2
2024-02,ABI,2022-06,4
2024-02,ABI,2022-07,0
2024-02,ABI,2022-08,3
2024-02,ABI,2022-09,2
2024-02,ABI,2022-10,1
2024-02,ABI,2022-11,1
2024-02,ABI,2022-12,1
2024-02,ABI,2023-01,2
2024-02,ABI,2023-02,0
2024-02,ABI,2023-03,1
2024-02,ABI,2023-04,0
2024-02,ABI,2023-05,2
2024-02,ABI,2023-06,1
2024-02,ABI,2023-07,1
2024-02,ABI,2023-08,2
2024-02,ABI,2023-09,2
2024-02,ABI,2023-10,4
2024-02,ABI,2023-11,3
2024-02,ABI,2023-12,0
2024-02,ABI,2024-01,2
2019-02,ABQ,2015-01,11
2019-02,ABQ,2015-02,8
2019-02,ABQ,2015-03,7
2019-02,ABQ,2015-04,11
2019-02,ABQ,2015-05,6
2019-02,ABQ,2015-06,14
2019-02,ABQ,2015-07,21
2019-02,ABQ,2015-08,26
2019-02,ABQ,2015-09,17
2019-02,ABQ,2015-10,26
2019-02,ABQ,2015-11,17
2019-02,ABQ,2015-12,27
2019-12,ABQ,2016-01,11
2019-12,ABQ,2016-02,19
2019-12,ABQ,2016-03,15
2019-12,ABQ,2016-04,25
2019-12,ABQ,2016-05,28
2019-12,ABQ,2016-06,20
2019-12,ABQ,2016-07,23
2019-12,ABQ,2016-08,20
2019-12,ABQ,2016-09,20
2019-12,ABQ,2016-10,21
2019-12,ABQ,2016-11,22
2019-12,ABQ,2016-12,34
2019-12,ABQ,2017-01,23
2019-12,ABQ,2017-02,23
2019-12,ABQ,2017-03,26
2019-12,ABQ,2017-04,17
2019-12,ABQ,2017-05,18
2019-12,ABQ,2017-06,23
2019-12,ABQ,2017-07,17
2019-12,ABQ,2017-08,14
2019-12,ABQ,2017-09,16
2019-12,ABQ,2017-10,30
2019-12,ABQ,2017-11,19
2019-12,ABQ,2017-12,23
2021-06,ABQ,2018-01,24
2021-06,ABQ,2018-02,11
2021-06,ABQ,2018-03,20
2021-06,ABQ,2018-04,17
2021-06,ABQ,2018-05,16
2021-06,ABQ,2018-06,21
2021-06,ABQ,2018-07,23
2021-06,ABQ,2018-08,24
2021-06,ABQ,2018-09,13
2021-06,ABQ,2018-10,29
2021-06,ABQ,2018-11,20
2021-06,ABQ,2018-12,15
2022-05,ABQ,2019-01,17
2022-05,ABQ,2019-02,4
2022-05,ABQ,2019-03,23
2022-05,ABQ,2019-04,17
2022-05,ABQ,2019-05,12
2022-05,ABQ,2019-06,23
2022-05,ABQ,2019-07,21
2022-05,ABQ,2019-08,21
2022-05,ABQ,2019-09,22
2022-05,ABQ,2019-10,28
2022-05,ABQ,2019-11,19
2022-05,ABQ,2019-12,16
2023-05,ABQ,2020-01,28
2023-05,ABQ,2020-02,13
2023-05,ABQ,2020-03,6
2023-05,ABQ,2020-04,1
2023-05,ABQ,2020-05,0
2023-05,ABQ,2020-06,0
2023-05,ABQ,2020-07,6
2023-05,ABQ,2020-08,1
2023-05,ABQ,2020-09,8
2023-05,ABQ,2020-10,6
2023-05,ABQ,2020-11,4
2023-05,ABQ,2020-12,2
2023-05,ABQ,2021-01,3
2023-05,ABQ,2021-02,4
2023-05,ABQ,2021-03,11
2023-05,ABQ,2021-04,12
2023-05,ABQ,2021-05,15
2023-05,ABQ,2021-06,18
2023-05,ABQ,2021-07,21
2023-05,ABQ,2021-08,24
2023-08,ABQ,2021-09,27
2024-02,ABQ,2021-10,36
2024-02,ABQ,2021-11,37
2024-02,ABQ,2021-12,28
2024-02,ABQ,2022-01,38
2024-02,ABQ,2022-02,38
2024-02,ABQ,2022-03,65
2024-02,ABQ,2022-04,58
2024-02,ABQ,2022-05,37
2024-02,ABQ,2022-06,53
2024-02,ABQ,2022-07,43
2024-02,ABQ,2022-08,29
2024-02,ABQ,2022-09,35
2024-02,ABQ,2022-10,58
2024-02,ABQ,2022-11,34
2024-02,ABQ,2022-12,37
2024-02,ABQ,2023-01,32
2024-02,ABQ,2023-02,21
2024-02,ABQ,2023-03,31
2024-02,ABQ,2023-04,29
2024-02,ABQ,2023-05,25
2024-02,ABQ,2023-06,38
2024-02,ABQ,2023-07,39
2024-02,ABQ,2023-08,43
2024-02,ABQ,2023-09,41
2024-02,ABQ,2023-10,55
2024-02,ABQ,2023-11,41
2024-02,ABQ,2023-12,59
2024-02,ABQ,2024-01,34
2019-02,ABR,2015-01,0
2019-02,ABR,2015-02,0
2019-02,ABR,2015-03,0
2019-02,ABR,2015-04,0
2019-02,ABR,2015-05,1
2019-02,ABR,2015-06,0
2019-02,ABR,2015-07,1
2019-02,ABR,2015-08,0
2019-02,ABR,2015-09,0
2019-02,ABR,2015-10,2
2019-02,ABR,2015-11,2
2019-02,ABR,2015-12,3
2019-12,ABR,2016-01,1
2019-12,ABR,2016-02,0
2019-12,ABR,2016-03,0
2019-12,ABR,2016-04,0
2019-12,ABR,2016-05,0
2019-12,ABR,2016-06,0
2019-12,ABR,2016-07,1
2019-12,ABR,2016-08,0
2019-12,ABR,2016-09,0
2019-12,ABR,2016-10,0
2019-12,ABR,2016-11,1
2019-12,ABR,2016-12,0
2019-12,ABR,2017-01,0
2019-12,ABR,2017-02,0
2019-12,ABR,2017-03,1
2019-12,ABR,2017-04,0
2019-12,ABR,2017-05,0
2019-12,ABR,2017-06,0
2019-12,ABR,2017-07,0
2019-12,ABR,2017-08,0
2019-12,ABR,2017-09,1
2019-12,ABR,2017-10,0
2019-12,ABR,2017-11,0
2019-12,ABR,2017-12,1
2021-06,ABR,2018-01,1
2021-06,ABR,2018-02,1
2021-06,ABR,2018-03,0
2021-06,ABR,2018-04,1
2021-06,ABR,2018-05,1
2021-06,ABR,2018-06,0
2021-06,ABR,2018-07,0
2021-06,ABR,2018-08,0
2021-06,ABR,2018-09,0
2021-06,ABR,2018-10,1
2021-06,ABR,2018-11,0
2021-06,ABR,2018-12,0
2022-05,ABR,2019-01,0
2022-05,ABR,2019-02,0
2022-05,ABR,2019-03,0
2022-05,ABR,2019-04,0
2022-05,ABR,2019-05,0
2022-05,ABR,2019-06,1
2022-05,ABR,2019-07,1
2022-05,ABR,2019-08,0
2022-05,ABR,2019-09,1
2022-05,ABR,2019-10,0
2022-05,ABR,2019-11,1
2022-05,ABR,2019-12,1
2023-05,ABR,2020-10,0
2023-05,ABR,2020-11,0
2023-05,ABR,2020-12,1
2023-05,ABR,2021-01,0
2023-05,ABR,2021-02,0
2023-05,ABR,2021-03,0
2023-05,ABR,2021-04,0
2023-05,ABR,2021-05,1
2023-05,ABR,2021-06,2
2023-05,ABR,2021-07,1
2023-05,ABR,2021-08,1
2023-08,ABR,2021-09,1
2024-02,ABR,2021-10,3
2024-02,ABR,2021-11,1
2024-02,ABR,2021-12,1
2024-02,ABR,2022-01,0
2024-02,ABR,2022-02,0
2024-02,ABR,2022-03,2
2024-02,ABR,2022-04,2
2024-02,ABR,2022-05,1
2024-02,ABR,2022-06,0
2024-02,ABR,2022-07,2
2024-02,ABR,2022-08,0
2024-02,ABR,2022-09,1
2024-02,ABR,2022-10,0
2024-02,ABR,2022-11,1
2024-02,ABR,2022-12,2
2024-02,ABR,2023-01,4
2024-02,ABR,2023-02,0
2024-02,ABR,2023-03,0
2024-02,ABR,2023-04,0
2024-02,ABR,2023-05,0
2024-02,ABR,2023-06,2
2024-02,ABR,2023-07,0
2024-02,ABR,2023-08,2
2024-02,ABR,2023-09,1
2024-02,ABR,2023-10,1
2024-02,ABR,2023-11,1
2024-02,ABR,2023-12,1
2024-02,ABR,2024-01,0
2019-02,ABY,2015-01,0
2019-02,ABY,2015-02,2
2019-02,ABY,2015-03,1
2019-02,ABY,2015-04,0
2019-02,ABY,2015-05,0
2019-02,ABY,2015-06,1
2019-02,ABY,2015-07,0
2019-02,ABY,2015-08,1
2019-02,ABY,2015-09,3
2019-02,ABY,2015-10,0
2019-02,ABY,2015-11,0
2019-02,ABY,2015-12,3
2019-12,ABY,2016-01,2
2019-12,ABY,2016-02,2
2019-12,ABY,2016-03,0
2019-12,ABY,2016-04,5
2019-12,ABY,2016-05,0
2019-12,ABY,2016-06,1
2019-12,ABY,2016-07,1
2019-12,ABY,2016-08,0
2019-12,ABY,2016-09,3
2019-12,ABY,2016-10,2
2019-12,ABY,2016-11,0
2019-12,ABY,2016-12,0
2019-12,ABY,2017-01,0
2019-12,ABY,2017-02,3
2019-12,ABY,2017-03,1
2019-12,ABY,2017-04,0
2019-12,ABY,2017-05,1
2019-12,ABY,2017-06,1
2019-12,ABY,2017-07,4
2019-12,ABY,2017-08,3
2019-12,ABY,2017-09,0
2019-12,ABY,2017-10,2
2019-12,ABY,2017-11,2
2019-12,ABY,2017-12,0
2021-06,ABY,2018-01,2
2021-06,ABY,2018-02,2
2021-06,ABY,2018-03,3
2021-06,ABY,2018-04,3
2021-06,ABY,2018-05,4
2021-06,ABY,2018-06,0
2021-06,ABY,2018-07,2
2021-06,ABY,2018-08,2
2021-06,ABY,2018-09,1
2021-06,ABY,2018-10,0
2021-06,ABY,2018-11,2
2021-06,ABY,2018-12,0
2022-05,ABY,2019-01,0
2022-05,ABY,2019-02,3
2022-05,ABY,2019-03,1
2022-05,ABY,2019-04,3
2022-05,ABY,2019-05,2
2022-05,ABY,2019-06,1
2022-05,ABY,2019-07,1
2022-05,ABY,2019-08,1
2022-05,ABY,2019-09,0
2022-05,ABY,2019-10,2
2022-05,ABY,2019-11,2
2022-05,ABY,2019-12,0
2023-05,ABY,2020-01,0
2023-05,ABY,2020-02,1
2023-05,ABY,2020-03,0
2023-05,ABY,2020-04,0
2023-05,ABY,2020-05,0
2023-05,ABY,2020-06,0
2023-05,ABY,2020-07,0
2023-05,ABY,2020-08,0
2023-05,ABY,2020-09,1
2023-05,ABY,2020-10,0
2023-05,ABY,2020-11,1
2023-05,ABY,2020-12,0
2023-05,ABY,2021-01,1
2023-05,ABY,2021-02,0
2023-05,ABY,2021-03,1
2023-05,ABY,2021-04,0
2023-05,ABY,2021-05,1
2023-05,ABY,2021-06,1
2023-05,ABY,2021-07,1
2023-05,ABY,2021-08,0
2024-02,ABY,2021-10,0
2024-02,ABY,2021-11,2
2024-02,ABY,2021-12,0
2024-02,ABY,2022-01,0
2024-02,ABY,2022-02,0
2024-02,ABY,2022-03,2
2024-02,ABY,2022-04,0
2024-02,ABY,2022-05,2
2024-02,ABY,2022-06,2
2024-02,ABY,2022-07,2
2024-02,ABY,2022-08,3
2024-02,ABY,2022-09,2
2024-02,ABY,2022-10,0
2024-02,ABY,2022-11,0
2024-02,ABY,2022-12,0
2024-02,ABY,2023-01,2
2024-02,ABY,2023-02,0
2024-02,ABY,2023-03,3
2024-02,ABY,2023-04,2
2024-02,ABY,2023-05,2
2024-02,ABY,2023-06,1
2024-02,ABY,2023-07,0
2024-02,ABY,2023-08,0
2024-02,ABY,2023-09,0
2024-02,ABY,2023-10,0
2024-02,ABY,2023-11,3
2024-02,ABY,2023-12,1
2024-02,ABY,2024-01,0
2019-02,ACK,2015-01,0
2019-02,ACK,2015-02,0
2019-02,ACK,2015-03,0
2019-02,ACK,2015-04,0
2019-02,ACK,2015-05,1
2019-02,ACK,2015-06,0
2019-02,ACK,2015-07,0
2019-02,ACK,2015-08,2
2019-02,ACK,2015-09,1
2019-02,ACK,2015-10,0
2019-02,ACK,2015-11,1
2019-02,ACK,2015-12,0
2019-12,ACK,2016-01,0
2019-12,ACK,2016-02,0
2019-12,ACK,2016-03,0
2019-12,ACK,2016-04,0
2019-12,ACK,2016-05,1
2019-12,ACK,2016-06,2
2019-12,ACK,2016-07,1
2019-12,ACK,2016-08,0
2019-12,ACK,2016-09,2
2019-12,ACK,2016-10,0
2019-12,ACK,2016-11,0
2019-12,ACK,2016-12,0
2019-12,ACK,2017-01,0
2019-12,ACK,2017-02,1
2019-12,ACK,2017-03,0
2019-12,ACK,2017-04,1
2019-12,ACK,2017-05,0
2019-12,ACK,2017-06,2
2019-12,ACK,2017-07,1
2019-12,ACK,2017-08,3
2019-12,ACK,2017-09,2
2019-12,ACK,2017-10,0
2019-12,ACK,2017-11,0
2019-12,ACK,2017-12,0
2021-06,ACK,2018-01,0
2021-06,ACK,2018-02,1
2021-06,ACK,2018-03,0
2021-06,ACK,2018-04,0
2021-06,ACK,2018-05,1
2021-06,ACK,2018-06,2
2021-06,ACK,2018-07,2
2021-06,ACK,2018-08,6
2021-06,ACK,2018-09,2
2021-06,ACK,2018-10,0
2021-06,ACK,2018-11,0
2021-06,ACK,2018-12,0
2022-05,ACK,2019-01,0
2022-05,ACK,2019-02,0
2022-05,ACK,2019-03,0
2022-05,ACK,2019-04,0
2022-05,ACK,2019-05,0
2022-05,ACK,2019-06,0
2022-05,ACK,2019-07,2
2022-05,ACK,2019-08,4
2022-05,ACK,2019-09,2
2022-05,ACK,2019-10,1
2022-05,ACK,2019-11,0
2022-05,ACK,2019-12,0
2023-05,ACK,2020-10,0
2023-05,ACK,2020-11,0
2023-05,ACK,2020-12,0
2023-05,ACK,2021-01,0
2023-05,ACK,2021-02,0
2023-05,ACK,2021-03,0
2023-05,ACK,2021-04,0
2023-05,ACK,2021-05,1
2023-05,ACK,2021-06,0
2023-05,ACK,2021-07,4
2023-05,ACK,2021-08,1
2023-08,ACK,2021-09,2
2024-02,ACK,2021-10,0
2024-02,ACK,2021-11,0
2024-02,ACK,2021-12,0
2024-02,ACK,2022-01,0
2024-02,ACK,2022-02,0
2024-02,ACK,2022-03,0
2024-02,ACK,2022-04,0
2024-02,ACK,2022-05,0
2024-02,ACK,2022-06,1
2024-02,ACK,2022-07,2
2024-02,ACK,2022-08,9
2024-02,ACK,2022-09,1
2024-02,ACK,2022-10,1
2024-02,ACK,2022-11,0
2024-02,ACK,2022-12,0
2024-02,ACK,2023-01,0
2024-02,ACK,2023-02,0
2024-02,ACK,2023-03,0
2024-02,ACK,2023-04,0
2024-02,ACK,2023-05,0
2024-02,ACK,2023-06,2
2024-02,ACK,2023-07,2
2024-02,ACK,2023-08,7
2024-02,ACK,2023-09,1
2024-02,ACK,2023-10,1
2024-02,ACK,2023-11,0
2024-02,ACK,2023-12,0
2024-02,ACK,2024-01,0
2019-02,ACT,2015-01,1
2019-02,ACT,2015-02,0
2019-02,ACT,2015-03,1
2019-02,ACT,2015-04,2
2019-02,ACT,2015-05,2
2019-02,ACT,2015-06,0
2019-02,ACT,2015-07,1
2019-02,ACT,2015-08,1
2019-02,ACT,2015-09,1
2019-02,ACT,2015-10,2
2019-02,ACT,2015-11,1
2019-02,ACT,2015-12,0
2019-12,ACT,2016-01,0
2019-12,ACT,2016-02,2
2019-12,ACT,2016-03,3
2019-12,ACT,2016-04,0
2019-12,ACT,2016-05,1
2019-12,ACT,2016-06,1
2019-12,ACT,2016-07,0
2019-12,ACT,2016-08,3
2019-12,ACT,2016-09,2
2019-12,ACT,2016-10,1
2019-12,ACT,2016-11,2
2019-12,ACT,2016-12,3
2019-12,ACT,2017-01,1
2019-12,ACT,2017-02,2
2019-12,ACT,2017-03,1
2019-12,ACT,2017-04,0
2019-12,ACT,2017-05,0
2019-12,ACT,2017-06,2
2019-12,ACT,2017-07,2
2019-12,ACT,2017-08,1
2019-12,ACT,2017-09,0
2019-12,ACT,2017-10,1
2019-12,ACT,2017-11,0
2019-12,ACT,2017-12,2
2021-06,ACT,2018-01,3
2021-06,ACT,2018-02,0
2021-06,ACT,2018-03,3
2021-06,ACT,2018-04,2
2021-06,ACT,2018-05,1
2021-06,ACT,2018-06,1
2021-06,ACT,2018-07,1
2021-06,ACT,2018-08,1
2021-06,ACT,2018-09,1
2021-06,ACT,2018-10,0
2021-06,ACT,2018-11,2
2021-06,ACT,2018-12,2
2022-05,ACT,2019-01,2
2022-05,ACT,2019-02,0
2022-05,ACT,2019-03,1
2022-05,ACT,2019-04,1
2022-05,ACT,2019-05,0
2022-05,ACT,2019-06,4
2022-05,ACT,2019-07,3
2022-05,ACT,2019-08,2
2022-05,ACT,2019-09,0
2022-05,ACT,2019-10,0
2022-05,ACT,2019-11,0
2022-05,ACT,2019-12,2
2023-05,ACT,2020-01,0
2023-05,ACT,2020-02,0
2023-05,ACT,2020-03,0
2023-05,ACT,2020-04,0
2023-05,ACT,2020-05,0
2023-05,ACT,2020-06,1
2023-05,ACT,2020-07,0
2023-05,ACT,2020-08,0
2023-05,ACT,2020-09,0
2023-05,ACT,2020-10,0
2023-05,ACT,2020-11,0
2023-05,ACT,2020-12,0
2023-05,ACT,2021-01,1
2023-05,ACT,2021-02,2
2023-05,ACT,2021-03,1
2023-05,ACT,2021-04,0
2023-05,ACT,2021-05,1
2023-05,ACT,2021-06,0
2023-05,ACT,2021-07,0
2023-05,ACT,2021-08,0
2023-08,ACT,2021-09,1
2024-02,ACT,2021-10,0
2024-02,ACT,2021-11,1
2024-02,ACT,2021-12,3
2024-02,ACT,2022-01,0
2024-02,ACT,2022-02,3
2024-02,ACT,2022-03,1
2024-02,ACT,2022-04,2
2024-02,ACT,2022-05,1
2024-02,ACT,2022-06,3
2024-02,ACT,2022-07,2
2024-02,ACT,2022-08,0
2024-02,ACT,2022-09,2
2024-02,ACT,2022-10,1
2024-02,ACT,2022-11,2
2024-02,ACT,2022-12,0
2024-02,ACT,2023-01,0
2024-02,ACT,2023-02,3
2024-02,ACT,2023-03,1
2024-02,ACT,2023-04,1
2024-02,ACT,2023-05,0
2024-02,ACT,2023-06,1
2024-02,ACT,2023-07,2
2024-02,ACT,2023-08,1
2024-02,ACT,2023-09,3
2024-02,ACT,2023-10,0
2024-02,ACT,2023-11,0
2024-02,ACT,2023-12,3
2024-02,ACT,2024-01,1
2019-02,ACV,2015-01,1
2019-02,ACV,2015-02,0
2019-02,ACV,2015-03,0
2019-02,ACV,2015-04,0
2019-02,ACV,2015-05,0
2019-02,ACV,2015-06,0
2019-02,ACV,2015-07,1
2019-02,ACV,2015-08,0
2019-02,ACV,2015-09,1
2019-02,ACV,2015-10,0
2019-02,ACV,2015-11,0
2019-02,ACV,2015-12,1
2019-12,ACV,2016-01,0
2019-12,ACV,2016-02,1
2019-12,ACV,2016-03,1
2019-12,ACV,2016-04,0
2019-12,ACV,2016-05,1
2019-12,ACV,2016-06,1
2019-12,ACV,2016-07,1
2019-12,ACV,2016-08,0
2019-12,ACV,2016-09,1
2019-12,ACV,2016-10,0
2019-12,ACV,2016-11,0
2019-12,ACV,2016-12,0
2019-12,ACV,2017-01,0
2019-12,ACV,2017-02,0
2019-12,ACV,2017-03,1
2019-12,ACV,2017-04,0
2019-12,ACV,2017-05,0
2019-12,ACV,2017-06,0
2019-12,ACV,2017-07,1
2019-12,ACV,2017-08,0
2019-12,ACV,2017-09,0
2019-12,ACV,2017-10,0
2019-12,ACV,2017-11,0
2019-12,ACV,2017-12,0
2021-06,ACV,2018-01,0
2021-06,ACV,2018-02,0
2021-06,ACV,2018-03,0
2021-06,ACV,2018-04,2
2021-06,ACV,2018-05,0
2021-06,ACV,2018-06,0
2021-06,ACV,2018-07,0
2021-06,ACV,2018-08,0
2021-06,ACV,2018-09,0
2021-06,ACV,2018-10,0
2021-06,ACV,2018-11,1
2021-06,ACV,2018-12,0
2022-05,ACV,2019-01,0
2022-05,ACV,2019-02,0
2022-05,ACV,2019-03,0
2022-05,ACV,2019-04,0
2022-05,ACV,2019-05,0
2022-05,ACV,2019-06,2
2022-05,ACV,2019-07,0
2022-05,ACV,2019-08,0
2022-05,ACV,2019-09,1
2022-05,ACV,2019-10,0
2022-05,ACV,2019-11,0
2022-05,ACV,2019-12,1
2023-05,ACV,2020-01,1
2023-05,ACV,2020-02,0
2023-05,ACV,2020-03,1
2023-05,ACV,2020-04,0
2023-05,ACV,2020-05,0
2023-05,ACV,2020-06,0
2023-05,ACV,2020-07,0
2023-05,ACV,2020-08,0
2023-05,ACV,2020-09,0
2023-05,ACV,2020-10,1
2023-05,ACV,2020-11,0
2023-05,ACV,2020-12,0
2023-05,ACV,2021-01,1
2023-05,ACV,2021-02,0
2023-05,ACV,2021-03,0
2023-05,ACV,2021-04,0
2023-05,ACV,2021-05,0
2023-05,ACV,2021-06,3
2023-05,ACV,2021-07,1
2023-05,ACV,2021-08,1
2024-02,ACV,2021-10,0
2024-02,ACV,2021-11,2
2024-02,ACV,2021-12,1
2024-02,ACV,2022-01,0
2024-02,ACV,2022-02,0
2024-02,ACV,2022-03,2
2024-02,ACV,2022-04,2
2024-02,ACV,2022-05,0
2024-02,ACV,2022-06,0
2024-02,ACV,2022-07,2
2024-02,ACV,2022-08,2
2024-02,ACV,2022-09,2
2024-02,ACV,2022-10,0
2024-02,ACV,2022-11,2
2024-02,ACV,2022-12,0
2024-02,ACV,2023-01,2
2024-02,ACV,2023-02,2
2024-02,ACV,2023-03,1
2024-02,ACV,2023-04,2
2024-02,ACV,2023-05,1
2024-02,ACV,2023-06,0
2024-02,ACV,2023-07,0
2024-02,ACV,2023-08,1
2024-02,ACV,2023-09,0
2024-02,ACV,2023-10,1
2024-02,ACV,2023-11,1
2024-02,ACV,2023-12,2
2024-02,ACV,2024-01,1
2019-02,ACY,2015-01,2
2019-02,ACY,2015-02,2
2019-02,ACY,2015-03,1
2019-02,ACY,2015-04,2
2019-02,ACY,2015-05,8
2019-02,ACY,2015-06,4
2019-02,ACY,2015-07,6
2019-02,ACY,2015-08,3
2019-02,ACY,2015-09,3
2019-02,ACY,2015-10,4
2019-02,ACY,2015-11,1
2019-02,ACY,2015-12,2
2019-12,ACY,2016-01,3
2019-12,ACY,2016-02,4
2019-12,ACY,2016-03,13
